,Especie,Frecuencia
0,Homo sapiens (human),3
1,Rattus rattus (black rat),1
2,Zea mays,1
3,Glycine max (soybean),2
4,Triticum aestivum (bread wheat),6
5,Carica papaya (papaya),1
6,Todarodes pacificus (Japanese flying squid),1
7,Onchocerca volvulus,1
8,Mus musculus domesticus (western European house mouse),1
9,Gallus gallus (chicken),1
10,Chlamys islandica,1
11,Arabidopsis thaliana (thale cress),2
12,Alopecurus myosuroides,7
13,Proteus mirabilis,1
14,Dimocarpus longan,1
15,Calotropis procera,1
16,Nicotiana benthamiana,1
17,Lolium rigidum,1
18,Suaeda maritima,1
19,Taiwanofungus camphoratus,1
20,Anopheles cracens,1
21,Platynota idaeusalis,1
22,Clonorchis sinensis,2
23,Alternaria brassicicola,1
24,Penicillium chrysogenum,1
25,Penicillium malachiteum,2
26,Penicillium odoratum,1
27,Penicillium verhagenii,1
28,Penicillium concentricum,1
29,Penicillium alfredii,1
30,Malassezia vespertilionis,1
31,Caenorhabditis elegans,4
32,Zostera marina,1
33,Aspergillus affinis,2
34,Fimicolochytrium jonesii,1
35,Durotheca rogersii,1
36,Hypoxylon trugodes,1
37,Enterobacter hormaechei subsp. xiangfangensis (Enterobacter xiangfangensis),1
38,Hypoxylon fragiforme,1
39,Daldinia loculata,1
40,Annulohypoxylon truncatum,1
41,Daldinia vernicosa,1
42,Neoantrodia serialis,1
43,Epithele typhae,2
44,Rhodofomes roseus,1
45,Purpureocillium takamizusanense,14
46,Daldinia caldariorum,1
47,Coccidioides immitis RS,2
48,Histoplasma capsulatum G186AR (Ajellomyces capsulatus G186AR),2
49,Blastomyces dermatitidis ER-3 (Ajellomyces dermatitidis ER-3),2
50,Trametes versicolor FP-101664 SS1,1
51,Lentinula edodes (shiitake mushroom),1
52,Colletotrichum karsti,1
53,Colletotrichum truncatum,1
54,Alternaria rosae,1
55,Boeremia exigua,1
56,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,2
57,Aureobasidium melanogenum CBS 110374,1
58,Cucurbitaria berberidis CBS 394.84,2
